userID,pageID,rating,time
2,51666,69,1417759513
7,811,94,1423079110
940,7890,51,1391732375
5690,39196,50,1389998021
5690,41028,35,1389997456
5690,41069,5,1390008607
5690,41070,82,1394525218
5729,39196,44,1390281195
5729,41028,93,1391410801
5729,41069,22,1390289046
5730,25826,100,1389999540
5730,41028,100,1389999432
5730,41069,77,1391648588
5790,29969,85,1429424900
5904,59823,90,1429425883
5978,24425,90,1398065411
5978,24426,90,1398065664
5978,24427,90,1398065782
5978,24429,90,1398066524
5978,24430,60,1398067025
5978,24431,90,1398068572
5978,24432,90,1398068775
5978,24433,90,1398070250
5978,24434,50,1398072510
5979,29947,50,1397243559
5979,29948,32,1397244221
5979,29951,95,1397244769
5979,29952,80,1397245172
5979,29953,90,1397245383
5979,29954,75,1397247551
5979,29955,60,1397247154
5979,29956,75,1397246104
5979,29957,85,1397247808
5979,29959,70,1397253102
5979,29960,20,1397254590
5979,29961,50,1397253697
5979,29962,95,1397253211
5979,29965,60,1397256619
5979,42806,95,1397327047
5979,42811,70,1397327191
5979,42821,75,1397327402
5979,42825,50,1397328022
5979,42829,95,1397328264
5979,42833,50,1397328917
5979,42932,95,1397329201
5979,42934,80,1397330280
5979,42935,76,1397330082
5979,42936,95,1397330465
5979,42937,76,1397331080
5979,42938,95,1397332469
5979,42939,25,1397334386
5979,42940,85,1397336180
5979,42941,80,1397336437
5979,42942,85,1397337115
5979,42943,65,1397337956
5979,42944,95,1397336619
5979,42945,90,1397337455
6275,39148,60,1397519455
6275,39149,60,1397519531
6275,39189,81,1397519585
6275,39190,80,1397519641
6275,39191,70,1397521055
6275,39192,45,1397522612
6275,39193,50,1397524109
6275,39194,51,1397525126
6275,39195,50,1397525439
7070,21796,11,1398332227
7070,22234,61,1398332720
7070,22551,65,1398332282
7070,23466,50,1398332531
7070,23467,53,1398332846
7070,23468,62,1398333061
7070,23469,1,1398333098
7070,23470,55,1398333300
7070,24811,1,1398331325
7070,24812,54,1398331492
7070,24813,41,1398331849
7070,24817,50,1398332067
7322,42806,100,1397420532
7322,42811,85,1397421163
7322,42825,50,1397422300
7322,42829,99,1397422689
7556,42936,95,1397250543
7556,42937,90,1397250528
7581,21455,80,1391376727
7622,29947,99,1397551757
7622,42932,98,1397279191
7683,31561,71,1409922969
7683,31563,99,1409923121
7773,35544,16,1397966847
7832,42806,99,1397241883
7832,42811,99,1397242194
7832,42829,98,1397242964
7832,42833,97,1397243330
7832,42932,66,1397243557
7832,42934,57,1397245601
7832,42935,78,1397245058
7832,42940,89,1397318047
7832,42942,3,1397319089
7851,29947,84,1403664204
7851,29955,14,1403821775
