,userID,pageID,rating,time,url
3156,13590,51558,80,2014-10-30 18:27:40,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2013/Question_07
3157,13590,51559,85,2014-11-10 03:41:37,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2013/Question_08_(d)
3158,13590,51560,80,2014-11-03 17:51:56,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2013/Question_08_(c)
3159,13590,51561,85,2014-11-07 18:52:31,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2013/Question_10_(a)
3160,13590,51562,85,2014-11-07 19:24:04,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2013/Question_09
3161,13590,51564,65,2014-11-10 02:34:34,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2013/Question_11
3162,13590,51565,80,2014-11-08 19:12:07,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH100/December_2013/Question_10_(b)
3163,13590,51603,80,2014-11-30 20:42:34,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH102/December_2013/Question_A_01
3164,13590,51604,95,2014-11-30 20:42:44,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH102/December_2013/Question_A_02
3165,13590,51605,90,2014-11-30 20:43:04,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH102/December_2013/Question_A_03
3166,13590,51606,90,2014-11-30 20:43:34,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH102/December_2013/Question_A_04
3167,13590,51607,85,2014-11-30 20:43:51,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH102/December_2013/Question_A_05
3168,13590,51608,92,2014-12-02 05:48:28,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH102/December_2013/Question_A_06
3169,13590,51609,95,2014-12-03 17:43:27,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH102/December_2013/Question_A_07
3170,13590,51610,85,2014-11-30 20:45:28,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH102/December_2013/Question_A_08
3171,13590,51611,90,2014-11-30 20:46:21,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH102/December_2013/Question_B_01
3172,13590,51612,87,2014-11-30 20:47:18,http://wiki.ubc.ca/Science:Math_Exam_Resources/Courses/MATH102/December_2013/Question_B_03
